experiment,num of users,trace length,max location in trace,max location allowed,Clusters,GLRP,MP,ALRP,VF,User,fake trace num,Generic Util,Seed distance,Trace distance,Surge factor,Seed STD,Fake STD
sltg_exp1,20,40,40,40,39,05,00,1,4,1,0,5131.25,21712,0,1.75,1.2599603168354152,0.0
sltg_exp1,20,40,40,40,39,05,00,1,4,1,1,5131.25,21712,0,1.75,1.2599603168354152,0.0
sltg_exp1,20,40,40,40,39,05,00,1,4,1,2,5131.25,21712,0,1.75,1.2599603168354152,0.0
sltg_exp1,20,40,40,40,39,05,00,1,4,1,3,5131.25,21712,0,1.75,1.2599603168354152,0.0
sltg_exp1,20,40,40,40,39,05,00,1,4,1,4,5131.25,21712,0,1.75,1.2599603168354152,0.0
sltg_exp1,20,40,40,40,39,05,00,1,4,1,5,5131.25,21712,0,1.75,1.2599603168354152,0.0
sltg_exp1,20,40,40,40,39,05,00,1,4,2,0,3836.575,55904,0,1.75,11.543396380615196,0.0
sltg_exp1,20,40,40,40,39,05,00,1,4,2,1,3836.575,55904,0,1.75,11.543396380615196,0.0
sltg_exp1,20,40,40,40,39,05,00,1,4,2,2,3836.575,55904,0,1.75,11.543396380615196,0.0
sltg_exp1,20,40,40,40,39,05,00,1,4,2,3,3836.575,55904,0,1.75,11.543396380615196,0.0
sltg_exp1,20,40,40,40,39,05,00,1,4,2,4,3836.575,55904,0,1.75,11.543396380615196,0.0
sltg_exp1,20,40,40,40,39,05,00,1,4,2,5,3836.575,55904,0,1.75,11.543396380615196,0.0
sltg_exp1,20,40,40,40,39,05,00,1,4,3,0,4094.3,14114,0,1.75,2.8722813232690143,0.0
sltg_exp1,20,40,40,40,39,05,00,1,4,3,1,4094.3,14114,0,1.75,2.8722813232690143,0.0
sltg_exp1,20,40,40,40,39,05,00,1,4,3,2,4094.3,14114,0,1.75,2.8722813232690143,0.0
sltg_exp1,20,40,40,40,39,05,00,1,4,3,3,4094.3,14114,0,1.75,2.8722813232690143,0.0
sltg_exp1,20,40,40,40,39,05,00,1,4,3,4,4094.3,14114,0,1.75,2.8722813232690143,0.0
sltg_exp1,20,40,40,40,39,05,00,1,4,3,5,4094.3,14114,0,1.75,2.8722813232690143,0.0
sltg_exp1,20,40,40,40,39,05,00,1,4,4,0,1787.1,25483,0,1.75,1.2951833846988619,0.0
sltg_exp1,20,40,40,40,39,05,00,1,4,4,1,1787.1,25483,0,1.75,1.2951833846988619,0.0
sltg_exp1,20,40,40,40,39,05,00,1,4,4,2,1787.1,25483,0,1.75,1.2951833846988619,0.0
