experiment,num of users,trace length,max location in trace,max location allowed,Clusters,GLRP,MP,ALRP,VF,User,fake trace num,Generic Util,Seed distance,Trace distance,Surge factor,Seed STD,Fake STD
sltg_exp1,20,40,40,40,39,1,00,05,4,1,0,4935.5,21712,13148,2.05,1.2599603168354152,0.37416573867739417
sltg_exp1,20,40,40,40,39,1,00,05,4,1,1,5131.25,21712,0,1.75,1.2599603168354152,0.0
sltg_exp1,20,40,40,40,39,1,00,05,4,1,2,5112.675,21712,1486,1.95,1.2599603168354152,0.15612494995995996
sltg_exp1,20,40,40,40,39,1,00,05,4,1,3,5131.25,21712,0,1.75,1.2599603168354152,0.0
sltg_exp1,20,40,40,40,39,1,00,05,4,1,4,5131.25,21712,0,1.75,1.2599603168354152,0.0
sltg_exp1,20,40,40,40,39,1,00,05,4,1,5,5131.25,21712,0,1.75,1.2599603168354152,0.0
sltg_exp1,20,40,40,40,39,1,00,05,4,2,0,3836.575,55904,0,1.75,11.543396380615196,0.0
sltg_exp1,20,40,40,40,39,1,00,05,4,2,1,3836.575,55904,0,1.75,11.543396380615196,0.0
sltg_exp1,20,40,40,40,39,1,00,05,4,2,2,3836.575,55904,0,1.75,11.543396380615196,0.0
sltg_exp1,20,40,40,40,39,1,00,05,4,2,3,3818.0,55904,1486,1.95,11.543396380615196,0.15612494995995996
sltg_exp1,20,40,40,40,39,1,00,05,4,2,4,3836.575,55904,0,1.75,11.543396380615196,0.0
sltg_exp1,20,40,40,40,39,1,00,05,4,2,5,3045.35,55904,14622,2.45,11.543396380615196,1.4139925742379271
sltg_exp1,20,40,40,40,39,1,00,05,4,3,0,4094.3,14114,0,1.75,2.8722813232690143,0.0
sltg_exp1,20,40,40,40,39,1,00,05,4,3,1,4094.3,14114,0,1.75,2.8722813232690143,0.0
sltg_exp1,20,40,40,40,39,1,00,05,4,3,2,4094.3,14114,0,1.75,2.8722813232690143,0.0
sltg_exp1,20,40,40,40,39,1,00,05,4,3,3,3861.4,14114,13148,1.8,2.8722813232690143,0.4213074886588179
sltg_exp1,20,40,40,40,39,1,00,05,4,3,4,4094.3,14114,0,1.75,2.8722813232690143,0.0
sltg_exp1,20,40,40,40,39,1,00,05,4,3,5,4094.3,14114,0,1.75,2.8722813232690143,0.0
sltg_exp1,20,40,40,40,39,1,00,05,4,4,0,1274.15,25483,13148,2.25,1.2951833846988619,0.55677643628300222
sltg_exp1,20,40,40,40,39,1,00,05,4,4,1,1787.1,25483,0,1.75,1.2951833846988619,0.0
sltg_exp1,20,40,40,40,39,1,00,05,4,4,2,1787.1,25483,0,1.75,1.2951833846988619,0.0
sltg_exp1,20,40,40,40,39,1,00,05,4,4,3,1628.5,25483,6344,1.65,1.2951833846988619,0.31224989991991992
sltg_exp1,20,40,40,40,39,1,00,05,4,4,4,1787.1,25483,0,1.75,1.2951833846988619,0.0
sltg_exp1,20,40,40,40,39,1,00,05,4,4,5,1591.35,25483,6804,1.95,1.2951833846988619,0.37416573867739417
sltg_exp1,20,40,40,40,39,1,00,05,4,5,0,4160.1,124238,0,1.75,10.125432089545612,0.0
sltg_exp1,20,40,40,40,39,1,00,05,4,5,1,4001.5,124238,6344,1.65,10.125432089545612,0.31224989991991992
sltg_exp1,20,40,40,40,39,1,00,05,4,5,2,3648.725,124238,18670,1.8,10.125432089545612,0.65144071103976919
sltg_exp1,20,40,40,40,39,1,00,05,4,5,3,3844.475,124238,6548,1.65,10.125432089545612,0.55621488653217477
sltg_exp1,20,40,40,40,39,1,00,05,4,5,4,4160.1,124238,0,1.75,10.125432089545612,0.0
sltg_exp1,20,40,40,40,39,1,00,05,4,5,5,4001.5,124238,6344,1.65,10.125432089545612,0.31224989991991992
sltg_exp1,20,40,40,40,39,1,00,05,4,6,0,6344.0,0,0,1.75,0.0,0.0
sltg_exp1,20,40,40,40,39,1,00,05,4,6,1,6344.0,0,0,1.75,0.0,0.0
sltg_exp1,20,40,40,40,39,1,00,05,4,6,2,6344.0,0,0,1.75,0.0,0.0
sltg_exp1,20,40,40,40,39,1,00,05,4,6,3,6185.4,0,6344,1.65,0.0,0.31224989991991992
sltg_exp1,20,40,40,40,39,1,00,05,4,6,4,6185.4,0,6344,1.65,0.0,0.31224989991991992
sltg_exp1,20,40,40,40,39,1,00,05,4,6,5,6344.0,0,0,1.75,0.0,0.0
sltg_exp1,20,40,40,40,39,1,00,05,4,7,0,2312.95,1232,0,1.75,1.2599603168354152,0.0
sltg_exp1,20,40,40,40,39,1,00,05,4,7,1,2312.95,1232,0,1.75,1.2599603168354152,0.0
sltg_exp1,20,40,40,40,39,1,00,05,4,7,2,2188.925,1232,2571,1.65,1.2599603168354152,2.2911514572371683
sltg_exp1,20,40,40,40,39,1,00,05,4,7,3,2252.0,1232,2438,1.55,1.2599603168354152,1.5612494995995996
sltg_exp1,20,40,40,40,39,1,00,05,4,7,4,2252.0,1232,2438,1.55,1.2599603168354152,1.5612494995995996
sltg_exp1,20,40,40,40,39,1,00,05,4,7,5,2312.95,1232,0,1.75,1.2599603168354152,0.0
sltg_exp1,20,40,40,40,39,1,00,05,4,8,0,4137.075,15702,6265,1.55,2.8722813232690143,3.1224989991991992
sltg_exp1,20,40,40,40,39,1,00,05,4,8,1,4137.075,15702,6265,1.55,2.8722813232690143,3.1224989991991992
sltg_exp1,20,40,40,40,39,1,00,05,4,8,2,4293.7,15702,0,1.75,2.8722813232690143,0.0
sltg_exp1,20,40,40,40,39,1,00,05,4,8,3,3980.45,15702,6265,1.55,2.8722813232690143,4.358898943540674
sltg_exp1,20,40,40,40,39,1,00,05,4,8,4,4293.7,15702,0,1.75,2.8722813232690143,0.0
sltg_exp1,20,40,40,40,39,1,00,05,4,8,5,4293.7,15702,0,1.75,2.8722813232690143,0.0
sltg_exp1,20,40,40,40,39,1,00,05,4,9,0,2367.15,1110,2445,1.55,1.2951833846988619,1.8734993995195195
sltg_exp1,20,40,40,40,39,1,00,05,4,9,1,2367.15,1110,2445,1.55,1.2951833846988619,1.8734993995195195
sltg_exp1,20,40,40,40,39,1,00,05,4,9,2,2428.275,1110,0,1.75,1.2951833846988619,0.0
