experiment,num of users,trace length,max location in trace,max location allowed,Clusters,GLRP,MP,ALRP,VF,User,fake trace num,Generic Util,Seed distance,Trace distance,Surge factor,Seed STD,Fake STD
sltg_exp1,5,84,225,250,30,05,05,05,4,1,0,780.4066829556556,96077.25889424435,24956.818140669388,5.2,7.3444083810147838,20.382937570206352
sltg_exp1,5,84,225,250,30,05,05,05,4,1,1,938.3048181504862,96077.25889424435,76842.1358539989,15.0,7.3444083810147838,20.10840800666125
sltg_exp1,5,84,225,250,30,05,05,05,4,1,2,572.9328706131263,96077.25889424435,7289.758107874807,9.8,7.3444083810147838,0.60080728004502582
sltg_exp1,5,84,225,250,30,05,05,05,4,1,3,547.8074363513493,96077.25889424435,9296.669877893277,7.4,7.3444083810147838,4.1698627198075506
sltg_exp1,5,84,225,250,30,05,05,05,4,1,4,2010.942206225015,96077.25889424435,107086.97009899704,7.8,7.3444083810147838,50.301432653395942
sltg_exp1,5,84,225,250,30,05,05,05,4,1,5,688.9094628975043,96077.25889424435,23608.074608928768,3.8,7.3444083810147838,7.9041523000740828
sltg_exp1,5,84,225,250,30,05,05,05,4,2,0,3958.872650368184,5011.818501967006,277380.5523429295,6.0,0.51987156097376297,34.406632013764622
sltg_exp1,5,84,225,250,30,05,05,05,4,2,1,3894.7955970502962,5011.818501967006,289437.47702261165,0.2,0.51987156097376297,57.212006771488639
sltg_exp1,5,84,225,250,30,05,05,05,4,2,2,264.1466018097568,5011.818501967006,52817.214709016225,29.4,0.51987156097376297,0.49487165930539345
sltg_exp1,5,84,225,250,30,05,05,05,4,2,3,230.96541265018607,5011.818501967006,37258.37348818008,22.4,0.51987156097376297,10.657860682663557
sltg_exp1,5,84,225,250,30,05,05,05,4,2,4,264.1466018097568,5011.818501967006,52817.214709016225,29.4,0.51987156097376297,0.49487165930539345
sltg_exp1,5,84,225,250,30,05,05,05,4,2,5,264.1466018097568,5011.818501967006,52817.214709016225,29.4,0.51987156097376297,0.49487165930539345
sltg_exp1,5,84,225,250,30,05,05,05,4,3,0,795.1172388700322,103834.98140745451,26287.74957474925,4.8,8.8506120315678363,11.870235647663687
sltg_exp1,5,84,225,250,30,05,05,05,4,3,1,670.9303064638549,103834.98140745451,39001.632304802704,7.0,8.8506120315678363,12.204390078500793
sltg_exp1,5,84,225,250,30,05,05,05,4,3,2,1016.1233218952717,103834.98140745451,54194.35810024436,5.0,8.8506120315678363,19.211242899445537
sltg_exp1,5,84,225,250,30,05,05,05,4,3,3,719.5740361599152,103834.98140745451,23863.79020468365,5.0,8.8506120315678363,8.1433705630398627
sltg_exp1,5,84,225,250,30,05,05,05,4,3,4,1681.09291525043,103834.98140745451,120925.92586789592,13.4,8.8506120315678363,30.298708933526338
sltg_exp1,5,84,225,250,30,05,05,05,4,3,5,814.2952407111183,103834.98140745451,32590.652876871663,6.0,8.8506120315678363,13.498803171941946
sltg_exp1,5,84,225,250,30,05,05,05,4,4,0,747.5290808247272,90106.10029559051,61315.62906008178,8.4,6.4094512838180782,25.947116110795822
sltg_exp1,5,84,225,250,30,05,05,05,4,4,1,650.2933316438149,90106.10029559051,30409.651730683483,11.2,6.4094512838180782,20.253450057435273
sltg_exp1,5,84,225,250,30,05,05,05,4,4,2,994.3968093268037,90106.10029559051,110417.4776495904,6.4,6.4094512838180782,30.637082280426061
sltg_exp1,5,84,225,250,30,05,05,05,4,4,3,646.3511573795572,90106.10029559051,66690.03382906404,7.2,6.4094512838180782,27.532221897812491
sltg_exp1,5,84,225,250,30,05,05,05,4,4,4,713.4948540564616,90106.10029559051,55565.948564196085,10.2,6.4094512838180782,21.131307844092706
sltg_exp1,5,84,225,250,30,05,05,05,4,4,5,2242.137400288818,90106.10029559051,256304.11966845964,16.6,6.4094512838180782,27.641585631722137
sltg_exp1,5,84,225,250,30,05,05,05,4,5,0,428.1641016487369,72249.61242333507,27714.153930401815,5.4,8.4835692200876238,9.1265355307285549
sltg_exp1,5,84,225,250,30,05,05,05,4,5,1,460.83675090409764,72249.61242333507,21944.141130438064,4.6,8.4835692200876238,11.833285426749821
sltg_exp1,5,84,225,250,30,05,05,05,4,5,2,444.60249720554253,72249.61242333507,28568.01172238971,8.2,8.4835692200876238,12.755345462529846
sltg_exp1,5,84,225,250,30,05,05,05,4,5,3,444.210458278726,72249.61242333507,7143.131864345837,4.0,8.4835692200876238,11.3163325369206
sltg_exp1,5,84,225,250,30,05,05,05,4,5,4,330.37903187162675,72249.61242333507,20662.493937960448,4.8,8.4835692200876238,5.1161536670306544
sltg_exp1,5,84,225,250,30,05,05,05,4,5,5,2323.8705037569707,72249.61242333507,135828.3625373649,0.4,8.4835692200876238,44.218309879182726
