experiment,num of users,trace length,max location in trace,max location allowed,Clusters,GLRP,MP,ALRP,VF,User,fake trace num,Generic Util,Seed distance,Trace distance,Surge factor,Seed STD,Fake STD
sltg_exp1,5,84,225,250,30,075,05,025,4,1,0,626.6319015600794,96077.25889424435,15527.543694185313,10.6,7.3444083810147838,12.634060027921176
sltg_exp1,5,84,225,250,30,075,05,025,4,1,1,641.616002847538,96077.25889424435,18889.68849447083,5.2,7.3444083810147838,7.9424214080549298
sltg_exp1,5,84,225,250,30,075,05,025,4,1,2,652.2787297059797,96077.25889424435,58516.9215885807,19.4,7.3444083810147838,11.036272909270194
sltg_exp1,5,84,225,250,30,075,05,025,4,1,3,525.1168203432461,96077.25889424435,12492.623245808516,8.6,7.3444083810147838,5.4208774841728999
sltg_exp1,5,84,225,250,30,075,05,025,4,1,4,664.1542864950918,96077.25889424435,24054.89732146946,10.2,7.3444083810147838,11.909731105752888
sltg_exp1,5,84,225,250,30,075,05,025,4,1,5,610.6260799019989,96077.25889424435,33316.97745053381,10.0,7.3444083810147838,20.001658094533369
sltg_exp1,5,84,225,250,30,075,05,025,4,2,0,382.34292874219284,5011.818501967006,35748.96731871118,21.6,0.51987156097376297,16.980714684659599
sltg_exp1,5,84,225,250,30,075,05,025,4,2,1,234.87529099519492,5011.818501967006,38019.824736366616,22.6,0.51987156097376297,10.647623306924782
sltg_exp1,5,84,225,250,30,075,05,025,4,2,2,264.1466018097568,5011.818501967006,52817.214709016225,29.4,0.51987156097376297,0.49487165930539345
sltg_exp1,5,84,225,250,30,075,05,025,4,2,3,221.39969240313587,5011.818501967006,39418.20477237925,24.0,0.51987156097376297,8.2208738245948823
sltg_exp1,5,84,225,250,30,075,05,025,4,2,4,264.1466018097568,5011.818501967006,52817.214709016225,29.4,0.51987156097376297,0.49487165930539345
sltg_exp1,5,84,225,250,30,075,05,025,4,2,5,219.37447326288654,5011.818501967006,40109.19107762431,26.2,0.51987156097376297,7.6438584123838549
sltg_exp1,5,84,225,250,30,075,05,025,4,3,0,691.0773047854411,103834.98140745451,34826.04492780559,13.4,8.8506120315678363,9.5654447061442927
sltg_exp1,5,84,225,250,30,075,05,025,4,3,1,798.3301756081256,103834.98140745451,41569.60348179378,9.4,8.8506120315678363,14.757545439275811
sltg_exp1,5,84,225,250,30,075,05,025,4,3,2,675.8792366819865,103834.98140745451,22381.581966522936,7.8,8.8506120315678363,9.1847070469022025
sltg_exp1,5,84,225,250,30,075,05,025,4,3,3,588.568600236388,103834.98140745451,12568.817574135284,12.8,8.8506120315678363,4.6378483360507401
sltg_exp1,5,84,225,250,30,075,05,025,4,3,4,776.9991567225916,103834.98140745451,34326.71808911998,8.2,8.8506120315678363,21.860212851106724
sltg_exp1,5,84,225,250,30,075,05,025,4,3,5,950.676281386081,103834.98140745451,42491.4539333576,8.2,8.8506120315678363,15.280312611813256
sltg_exp1,5,84,225,250,30,075,05,025,4,4,0,454.2183543064724,90106.10029559051,13788.206818074334,10.0,6.4094512838180782,4.967396535879856
sltg_exp1,5,84,225,250,30,075,05,025,4,4,1,603.3231618202686,90106.10029559051,51879.42888978803,12.6,6.4094512838180782,21.516091115041046
sltg_exp1,5,84,225,250,30,075,05,025,4,4,2,659.3797870650868,90106.10029559051,31640.51238511222,7.4,6.4094512838180782,20.360052702086659
sltg_exp1,5,84,225,250,30,075,05,025,4,4,3,659.6920933279695,90106.10029559051,72161.32723107518,10.6,6.4094512838180782,22.934921609887851
sltg_exp1,5,84,225,250,30,075,05,025,4,4,4,437.41567868237263,90106.10029559051,21721.559429736524,11.2,6.4094512838180782,8.5236432545634937
sltg_exp1,5,84,225,250,30,075,05,025,4,4,5,571.6321328674458,90106.10029559051,7044.139717101864,8.8,6.4094512838180782,3.8134466409596861
sltg_exp1,5,84,225,250,30,075,05,025,4,5,0,408.3203959934045,72249.61242333507,7748.4810176642495,6.4,8.4835692200876238,10.816077308556517
sltg_exp1,5,84,225,250,30,075,05,025,4,5,1,319.38510297666545,72249.61242333507,7234.928056141664,9.4,8.4835692200876238,0.904370215967081
sltg_exp1,5,84,225,250,30,075,05,025,4,5,2,318.83931657995475,72249.61242333507,3846.9432369941387,4.8,8.4835692200876238,1.6562172428626494
sltg_exp1,5,84,225,250,30,075,05,025,4,5,3,422.5272640558692,72249.61242333507,8200.3536844313,4.8,8.4835692200876238,10.560235118577483
sltg_exp1,5,84,225,250,30,075,05,025,4,5,4,319.4484751610722,72249.61242333507,7391.776179053267,9.0,8.4835692200876238,0.43967107887189022
sltg_exp1,5,84,225,250,30,075,05,025,4,5,5,433.33132167649194,72249.61242333507,7884.128059330156,4.4,8.4835692200876238,10.40622606021638
