experiment,num of users,trace length,max location in trace,max location allowed,Clusters,GLRP,MP,ALRP,VF,User,fake trace num,Generic Util,Seed distance,Trace distance,Surge factor,Seed STD,Fake STD
sltg_exp1,20,40,40,40,39,00,00,05,4,1,0,5131.25,21712,0,1.75,1.2599603168354152,0.0
sltg_exp1,20,40,40,40,39,00,00,05,4,1,1,5131.25,21712,0,1.75,1.2599603168354152,0.0
sltg_exp1,20,40,40,40,39,00,00,05,4,1,2,5131.25,21712,0,1.75,1.2599603168354152,0.0
sltg_exp1,20,40,40,40,39,00,00,05,4,1,3,5131.25,21712,0,1.75,1.2599603168354152,0.0
sltg_exp1,20,40,40,40,39,00,00,05,4,1,4,5131.25,21712,0,1.75,1.2599603168354152,0.0
sltg_exp1,20,40,40,40,39,00,00,05,4,1,5,5131.25,21712,0,1.75,1.2599603168354152,0.0
sltg_exp1,20,40,40,40,39,00,00,05,4,2,0,3836.575,55904,0,1.75,11.543396380615196,0.0
sltg_exp1,20,40,40,40,39,00,00,05,4,2,1,3836.575,55904,0,1.75,11.543396380615196,0.0
sltg_exp1,20,40,40,40,39,00,00,05,4,2,2,3836.575,55904,0,1.75,11.543396380615196,0.0
sltg_exp1,20,40,40,40,39,00,00,05,4,2,3,3836.575,55904,0,1.75,11.543396380615196,0.0
sltg_exp1,20,40,40,40,39,00,00,05,4,2,4,3836.575,55904,0,1.75,11.543396380615196,0.0
sltg_exp1,20,40,40,40,39,00,00,05,4,2,5,3502.375,55904,13352,2.15,11.543396380615196,0.57227615711297997
sltg_exp1,20,40,40,40,39,00,00,05,4,3,0,4094.3,14114,0,1.75,2.8722813232690143,0.0
sltg_exp1,20,40,40,40,39,00,00,05,4,3,1,4094.3,14114,0,1.75,2.8722813232690143,0.0
sltg_exp1,20,40,40,40,39,00,00,05,4,3,2,4094.3,14114,0,1.75,2.8722813232690143,0.0
sltg_exp1,20,40,40,40,39,00,00,05,4,3,3,4094.3,14114,0,1.75,2.8722813232690143,0.0
sltg_exp1,20,40,40,40,39,00,00,05,4,3,4,4094.3,14114,0,1.75,2.8722813232690143,0.0
sltg_exp1,20,40,40,40,39,00,00,05,4,3,5,4094.3,14114,0,1.75,2.8722813232690143,0.0
sltg_exp1,20,40,40,40,39,00,00,05,4,4,0,1787.1,25483,0,1.75,1.2951833846988619,0.0
sltg_exp1,20,40,40,40,39,00,00,05,4,4,1,1609.925,25483,6804,1.85,1.2951833846988619,0.34550687402713137
sltg_exp1,20,40,40,40,39,00,00,05,4,4,2,1591.35,25483,6804,1.95,1.2951833846988619,0.37416573867739417
sltg_exp1,20,40,40,40,39,00,00,05,4,4,3,1591.35,25483,6804,1.95,1.2951833846988619,0.37416573867739417
sltg_exp1,20,40,40,40,39,00,00,05,4,4,4,1787.1,25483,0,1.75,1.2951833846988619,0.0
sltg_exp1,20,40,40,40,39,00,00,05,4,4,5,1787.1,25483,0,1.75,1.2951833846988619,0.0
sltg_exp1,20,40,40,40,39,00,00,05,4,5,0,4001.5,124238,6344,1.65,10.125432089545612,0.31224989991991992
sltg_exp1,20,40,40,40,39,00,00,05,4,5,1,3844.475,124238,6548,1.65,10.125432089545612,0.55621488653217477
sltg_exp1,20,40,40,40,39,00,00,05,4,5,2,4160.1,124238,0,1.75,10.125432089545612,0.0
sltg_exp1,20,40,40,40,39,00,00,05,4,5,3,3825.9,124238,7008,1.75,10.125432089545612,0.57227615711297997
sltg_exp1,20,40,40,40,39,00,00,05,4,5,4,3844.475,124238,6548,1.65,10.125432089545612,0.55621488653217477
sltg_exp1,20,40,40,40,39,00,00,05,4,5,5,3807.325,124238,7008,1.7,10.125432089545612,0.58683472971527517
sltg_exp1,20,40,40,40,39,00,00,05,4,6,0,6344.0,0,0,1.75,0.0,0.0
sltg_exp1,20,40,40,40,39,00,00,05,4,6,1,6344.0,0,0,1.75,0.0,0.0
sltg_exp1,20,40,40,40,39,00,00,05,4,6,2,6344.0,0,0,1.75,0.0,0.0
sltg_exp1,20,40,40,40,39,00,00,05,4,6,3,6344.0,0,0,1.75,0.0,0.0
sltg_exp1,20,40,40,40,39,00,00,05,4,6,4,6185.4,0,6344,1.65,0.0,0.31224989991991992
sltg_exp1,20,40,40,40,39,00,00,05,4,6,5,4916.6,0,6344,2.0,0.0,0.83516465442450338
sltg_exp1,20,40,40,40,39,00,00,05,4,7,0,2312.95,1232,0,1.75,1.2599603168354152,0.0
sltg_exp1,20,40,40,40,39,00,00,05,4,7,1,2312.95,1232,0,1.75,1.2599603168354152,0.0
sltg_exp1,20,40,40,40,39,00,00,05,4,7,2,2252.0,1232,2438,1.55,1.2599603168354152,1.5612494995995996
sltg_exp1,20,40,40,40,39,00,00,05,4,7,3,2125.85,1232,2571,1.8,1.2599603168354152,2.8124722220850464
sltg_exp1,20,40,40,40,39,00,00,05,4,7,4,2312.95,1232,0,1.75,1.2599603168354152,0.0
sltg_exp1,20,40,40,40,39,00,00,05,4,7,5,2003.6,1232,2617,1.75,1.2599603168354152,3.7134889255254278
sltg_exp1,20,40,40,40,39,00,00,05,4,8,0,4293.7,15702,0,1.75,2.8722813232690143,0.0
sltg_exp1,20,40,40,40,39,00,00,05,4,8,1,3526.45,15702,6841,1.55,2.8722813232690143,6.6820187817754606
sltg_exp1,20,40,40,40,39,00,00,05,4,8,2,4171.45,15702,2445,1.95,2.8722813232690143,6.3204034681339767
sltg_exp1,20,40,40,40,39,00,00,05,4,8,3,2959.525,15702,8277,1.75,2.8722813232690143,8.6358265383227799
sltg_exp1,20,40,40,40,39,00,00,05,4,8,4,3667.2,15702,6265,1.5,2.8722813232690143,6.0
sltg_exp1,20,40,40,40,39,00,00,05,4,8,5,4137.075,15702,6265,1.55,2.8722813232690143,3.1224989991991992
sltg_exp1,20,40,40,40,39,00,00,05,4,9,0,2367.15,1110,2445,1.55,1.2951833846988619,1.8734993995195195
sltg_exp1,20,40,40,40,39,00,00,05,4,9,1,2367.15,1110,2445,1.55,1.2951833846988619,1.8734993995195195
sltg_exp1,20,40,40,40,39,00,00,05,4,9,2,2241.0,1110,2647,1.8,1.2951833846988619,2.9878922336657321
sltg_exp1,20,40,40,40,39,00,00,05,4,9,3,2428.275,1110,0,1.75,1.2951833846988619,0.0
sltg_exp1,20,40,40,40,39,00,00,05,4,9,4,2304.075,1110,2647,1.65,1.2951833846988619,2.5088593025516599
sltg_exp1,20,40,40,40,39,00,00,05,4,9,5,2428.275,1110,0,1.75,1.2951833846988619,0.0
sltg_exp1,20,40,40,40,39,00,00,05,4,10,0,3841.725,107148,2258,1.55,9.9235830222757748,4.6837484987987983
sltg_exp1,20,40,40,40,39,00,00,05,4,10,1,3898.175,107148,0,1.75,9.9235830222757748,0.0
sltg_exp1,20,40,40,40,39,00,00,05,4,10,2,3898.175,107148,0,1.75,9.9235830222757748,0.0
sltg_exp1,20,40,40,40,39,00,00,05,4,10,3,3898.175,107148,0,1.75,9.9235830222757748,0.0
sltg_exp1,20,40,40,40,39,00,00,05,4,10,4,3898.175,107148,0,1.75,9.9235830222757748,0.0
sltg_exp1,20,40,40,40,39,00,00,05,4,10,5,3682.7,107148,12012,1.6,9.9235830222757748,5.8283252311448788
sltg_exp1,20,40,40,40,39,00,00,05,4,11,0,5497.65,0,5787,1.6,0.0,4.7947888378947408
sltg_exp1,20,40,40,40,39,00,00,05,4,11,1,5787.0,0,0,1.75,0.0,0.0
sltg_exp1,20,40,40,40,39,00,00,05,4,11,2,5787.0,0,0,1.75,0.0,0.0
sltg_exp1,20,40,40,40,39,00,00,05,4,11,3,5787.0,0,0,1.75,0.0,0.0
sltg_exp1,20,40,40,40,39,00,00,05,4,11,4,5208.3,0,5787,1.55,0.0,6.5999999999999988
sltg_exp1,20,40,40,40,39,00,00,05,4,11,5,5787.0,0,0,1.75,0.0,0.0
sltg_exp1,20,40,40,40,39,00,00,05,4,12,0,3818.0,55904,1486,1.95,11.543396380615196,0.15612494995995996
sltg_exp1,20,40,40,40,39,00,00,05,4,12,1,3836.575,55904,0,1.75,11.543396380615196,0.0
sltg_exp1,20,40,40,40,39,00,00,05,4,12,2,3818.0,55904,1486,1.95,11.543396380615196,0.15612494995995996
sltg_exp1,20,40,40,40,39,00,00,05,4,12,3,3836.575,55904,0,1.75,11.543396380615196,0.0
sltg_exp1,20,40,40,40,39,00,00,05,4,12,4,3836.575,55904,0,1.75,11.543396380615196,0.0
sltg_exp1,20,40,40,40,39,00,00,05,4,12,5,3836.575,55904,0,1.75,11.543396380615196,0.0
sltg_exp1,20,40,40,40,39,00,00,05,4,13,0,2055.3,35889,1940,1.55,8.8198639445288496,1.4051245496396394
sltg_exp1,20,40,40,40,39,00,00,05,4,13,1,2055.3,35889,1940,1.55,8.8198639445288496,1.4051245496396394
sltg_exp1,20,40,40,40,39,00,00,05,4,13,2,1898.2,35889,11629,1.55,8.8198639445288496,3.2496153618543842
sltg_exp1,20,40,40,40,39,00,00,05,4,13,3,2055.3,35889,1940,1.55,8.8198639445288496,1.4051245496396394
sltg_exp1,20,40,40,40,39,00,00,05,4,13,4,1741.1,35889,11629,1.55,8.8198639445288496,4.323699226356986
sltg_exp1,20,40,40,40,39,00,00,05,4,13,5,1618.85,35889,12922,1.5,8.8198639445288496,7.4319832480973744
sltg_exp1,20,40,40,40,39,00,00,05,4,14,0,3836.575,55904,0,1.75,11.543396380615196,0.0
sltg_exp1,20,40,40,40,39,00,00,05,4,14,1,3659.4,55904,13148,2.1,11.543396380615196,0.34550687402713137
sltg_exp1,20,40,40,40,39,00,00,05,4,14,2,3836.575,55904,0,1.75,11.543396380615196,0.0
sltg_exp1,20,40,40,40,39,00,00,05,4,14,3,3836.575,55904,0,1.75,11.543396380615196,0.0
sltg_exp1,20,40,40,40,39,00,00,05,4,14,4,3836.575,55904,0,1.75,11.543396380615196,0.0
sltg_exp1,20,40,40,40,39,00,00,05,4,14,5,3836.575,55904,0,1.75,11.543396380615196,0.0
sltg_exp1,20,40,40,40,39,00,00,05,4,15,0,3924.6,17707,0,1.75,8.0925892024740751,0.0
sltg_exp1,20,40,40,40,39,00,00,05,4,15,1,3861.525,17707,2523,1.55,8.0925892024740751,1.7173744495595595
sltg_exp1,20,40,40,40,39,00,00,05,4,15,2,3924.6,17707,0,1.75,8.0925892024740751,0.0
sltg_exp1,20,40,40,40,39,00,00,05,4,15,3,3924.6,17707,0,1.75,8.0925892024740751,0.0
sltg_exp1,20,40,40,40,39,00,00,05,4,15,4,3924.6,17707,0,1.75,8.0925892024740751,0.0
sltg_exp1,20,40,40,40,39,00,00,05,4,15,5,3924.6,17707,0,1.75,8.0925892024740751,0.0
sltg_exp1,20,40,40,40,39,00,00,05,4,16,0,2704.825,8618,0,1.75,9.0716247166645942,0.0
sltg_exp1,20,40,40,40,39,00,00,05,4,16,1,2704.825,8618,0,1.75,9.0716247166645942,0.0
sltg_exp1,20,40,40,40,39,00,00,05,4,16,2,2562.95,8618,5675,1.55,9.0716247166645942,5.1521233486786784
