experiment,num of users,trace length,max location in trace,max location allowed,Clusters,GLRP,MP,ALRP,VF,User,fake trace num,Generic Util,Seed distance,Trace distance,Surge factor,Seed STD,Fake STD
sltg_exp1,20,40,40,40,5,075,05,025,4,1,0,4525.175,21712,2448,2.65,1.2599603168354152,5.1795270054320595
sltg_exp1,20,40,40,40,5,075,05,025,4,1,1,4468.15,21712,4,2.55,1.2599603168354152,0.21794494717703367
sltg_exp1,20,40,40,40,5,075,05,025,4,1,2,3551.4,21712,10996,2.35,1.2599603168354152,0.43588989435406733
sltg_exp1,20,40,40,40,5,075,05,025,4,1,3,3218.5,21712,10926,1.7,1.2599603168354152,5.9352758992316437
sltg_exp1,20,40,40,40,5,075,05,025,4,1,4,4493.25,21712,4591,2.25,1.2599603168354152,1.3190905958272918
sltg_exp1,20,40,40,40,5,075,05,025,4,1,5,5089.95,21712,26103,2.1,1.2599603168354152,2.7100507375324172
sltg_exp1,20,40,40,40,5,075,05,025,4,2,0,3126.8,55904,39240,1.9,11.543396380615196,14.559339785855677
sltg_exp1,20,40,40,40,5,075,05,025,4,2,1,3585.2,55904,35901,1.8,11.543396380615196,12.896486924740396
sltg_exp1,20,40,40,40,5,075,05,025,4,2,2,3321.35,55904,36385,1.8,11.543396380615196,12.151105916746836
sltg_exp1,20,40,40,40,5,075,05,025,4,2,3,3128.175,55904,51280,3.65,11.543396380615196,12.835473306426996
sltg_exp1,20,40,40,40,5,075,05,025,4,2,4,3408.75,55904,32367,2.1,11.543396380615196,11.935215750039879
sltg_exp1,20,40,40,40,5,075,05,025,4,2,5,3427.15,55904,37495,1.8,11.543396380615196,10.47365743186209
sltg_exp1,20,40,40,40,5,075,05,025,4,3,0,3051.8,14114,28737,2.4,2.8722813232690143,11.146187689071093
sltg_exp1,20,40,40,40,5,075,05,025,4,3,1,3296.175,14114,21655,1.7,2.8722813232690143,6.9742383096650773
sltg_exp1,20,40,40,40,5,075,05,025,4,3,2,3494.25,14114,30949,2.9,2.8722813232690143,9.0199431816392277
sltg_exp1,20,40,40,40,5,075,05,025,4,3,3,3851.675,14114,19850,1.8,2.8722813232690143,8.3889436164513587
sltg_exp1,20,40,40,40,5,075,05,025,4,3,4,1898.0,14114,19544,3.4,2.8722813232690143,4.4471901241120779
sltg_exp1,20,40,40,40,5,075,05,025,4,3,5,1116.175,14114,15653,2.45,2.8722813232690143,10.893920322822268
sltg_exp1,20,40,40,40,5,075,05,025,4,4,0,4631.875,25483,650,2.5,1.2951833846988619,0.76811457478686085
sltg_exp1,20,40,40,40,5,075,05,025,4,4,1,5781.3,25483,13258,2.3,1.2951833846988619,2.0639767440550294
sltg_exp1,20,40,40,40,5,075,05,025,4,4,2,3748.1,25483,7747,1.8,1.2951833846988619,3.9357337308308851
sltg_exp1,20,40,40,40,5,075,05,025,4,4,3,3102.525,25483,1228,1.8,1.2951833846988619,0.29999999999999999
sltg_exp1,20,40,40,40,5,075,05,025,4,4,4,4765.35,25483,6595,2.8,1.2951833846988619,0.31224989991991992
sltg_exp1,20,40,40,40,5,075,05,025,4,4,5,5222.775,25483,5122,2.45,1.2951833846988619,2.9998958315248214
sltg_exp1,20,40,40,40,5,075,05,025,4,5,0,3229.275,124238,2354,2.85,10.125432089545612,3.675595189897821
sltg_exp1,20,40,40,40,5,075,05,025,4,5,1,3050.175,124238,8410,3.4,10.125432089545612,3.1539657575820312
sltg_exp1,20,40,40,40,5,075,05,025,4,5,2,2935.075,124238,30305,2.7,10.125432089545612,0.35707142142714249
sltg_exp1,20,40,40,40,5,075,05,025,4,5,3,3234.975,124238,30509,2.5,10.125432089545612,0.43588989435406733
sltg_exp1,20,40,40,40,5,075,05,025,4,5,4,3904.275,124238,14333,2.4,10.125432089545612,3.1415561430603147
sltg_exp1,20,40,40,40,5,075,05,025,4,5,5,2741.375,124238,18060,2.3,10.125432089545612,1.5652475842498528
sltg_exp1,20,40,40,40,5,075,05,025,4,6,0,5784.875,0,5787,1.65,0.0,7.2758161054276238
sltg_exp1,20,40,40,40,5,075,05,025,4,6,1,3504.0,0,0,2.5,0.0,0.0
sltg_exp1,20,40,40,40,5,075,05,025,4,6,2,6344.0,0,0,1.75,0.0,0.0
sltg_exp1,20,40,40,40,5,075,05,025,4,6,3,1871.0,0,0,2.9,0.0,0.0
sltg_exp1,20,40,40,40,5,075,05,025,4,6,4,4497.8,0,4624,2.9,0.0,3.4197039345533993
sltg_exp1,20,40,40,40,5,075,05,025,4,6,5,5403.0,0,0,2.4,0.0,0.0
sltg_exp1,20,40,40,40,5,075,05,025,4,7,0,5003.125,1232,13155,2.4,1.2599603168354152,0.7206767652699787
sltg_exp1,20,40,40,40,5,075,05,025,4,7,1,732.05,1232,3851,2.0,1.2599603168354152,4.7759161424798906
sltg_exp1,20,40,40,40,5,075,05,025,4,7,2,4109.8,1232,12122,2.6,1.2599603168354152,0.46837484987987987
sltg_exp1,20,40,40,40,5,075,05,025,4,7,3,3577.425,1232,20219,2.4,1.2599603168354152,1.0046765648705058
sltg_exp1,20,40,40,40,5,075,05,025,4,7,4,656.375,1232,5603,2.35,1.2599603168354152,0.77095719725546374
sltg_exp1,20,40,40,40,5,075,05,025,4,7,5,4594.225,1232,18450,2.65,1.2599603168354152,0.45757513044307818
sltg_exp1,20,40,40,40,5,075,05,025,4,8,0,3344.6,15702,17367,1.65,2.8722813232690143,8.4052067196470546
sltg_exp1,20,40,40,40,5,075,05,025,4,8,1,4482.825,15702,22532,1.25,2.8722813232690143,12.575273356869822
sltg_exp1,20,40,40,40,5,075,05,025,4,8,2,4214.525,15702,22570,1.6,2.8722813232690143,8.0046470877859441
sltg_exp1,20,40,40,40,5,075,05,025,4,8,3,3094.0,15702,26081,1.35,2.8722813232690143,9.613499622926085
sltg_exp1,20,40,40,40,5,075,05,025,4,8,4,2885.475,15702,20784,2.15,2.8722813232690143,12.566796528948815
sltg_exp1,20,40,40,40,5,075,05,025,4,8,5,3311.85,15702,22113,2.0,2.8722813232690143,12.508372196253196
sltg_exp1,20,40,40,40,5,075,05,025,4,9,0,4852.675,1110,6328,2.8,1.2951833846988619,0.35266839949164719
sltg_exp1,20,40,40,40,5,075,05,025,4,9,1,2842.85,1110,4191,2.8,1.2951833846988619,0.49434299833212969
sltg_exp1,20,40,40,40,5,075,05,025,4,9,2,4852.675,1110,6328,2.8,1.2951833846988619,0.35266839949164719
sltg_exp1,20,40,40,40,5,075,05,025,4,9,3,325.225,1110,2328,2.8,1.2951833846988619,1.6093476939431084
sltg_exp1,20,40,40,40,5,075,05,025,4,9,4,4400.9,1110,8074,2.55,1.2951833846988619,6.4474316591957761
